country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Afghanistan,AFG,"Thursday, May 27, 2021",593313,479574,113739,2859,6487,1.49,,0.78,0,550,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Afghanistan,AFG,"Thursday, June 3, 2021",630305,481800,148505,4015,5285,1.58,,0.9,0.01,523,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Afghanistan,AFG,"Thursday, January 27, 2022",5081064,4517380,3868832,6868,9802,12.76,,1.04,0.02,618,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, February 18, 2021",3049,2438,611,1348,254,0.11,,1.19,0.02,757,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, May 11, 2021",622507,440921,181586,9548,12160,21.67,,1.36,0.02,943,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, May 12, 2021",632676,444755,187921,10169,10870,22.02,,1.51,0.03,1098,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, May 13, 2021",638338,445402,192936,5662,9445,22.22,,1.78,0.13,1423,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, May 14, 2021",653330,448571,204759,14992,9662,22.74,,1.91,0.17,1463,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, May 18, 2021",688947,460191,228756,8864,9491,23.98,,2.03,0.23,1493,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, May 19, 2021",697811,463402,234409,8864,9305,24.29,,2.13,0.32,1508,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, May 20, 2021",703743,466083,237660,5932,9344,24.5,,2.24,0.37,1532,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, May 21, 2021",708846,469169,239677,5103,7931,24.67,,2.52,0.52,1624,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, May 24, 2021",725135,475237,249898,8519,6436,25.24,,2.66,0.6,1682,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, May 27, 2021",759043,481788,277255,10057,7900,26.42,,2.81,0.66,1728,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, May 31, 2021",776461,486128,290333,4257,7332,27.03,,2.95,0.71,1746,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, June 1, 2021",780342,487078,293264,3881,6183,27.16,,3.07,0.77,1743,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, June 7, 2021",803682,493346,310336,5058,3889,27.97,,3.33,0.89,1684,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, June 8, 2021",809992,494437,315555,6310,4236,28.19,,3.41,1.02,1672,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, June 9, 2021",816556,496024,320532,6564,4675,28.42,,3.48,1.17,1690,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, June 10, 2021",823053,498437,324616,6497,5105,28.65,,3.54,1.34,1734,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, June 11, 2021",830281,501735,328546,7228,5599,28.9,,3.58,1.49,1770,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Saturday, June 12, 2021",834868,503721,331147,4587,5716,29.06,,3.84,1.72,1899,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Sunday, June 13, 2021",836430,504257,332173,1562,5401,29.11,,3.98,1.84,1985,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, June 14, 2021",842535,507764,334771,6105,5550,29.33,,4.15,1.97,2089,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, June 15, 2021",848430,507854,340576,5895,5491,29.53,,4.33,2.08,2181,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, June 16, 2021",854227,509282,344945,5797,5382,29.73,,4.49,2.19,2301,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, June 17, 2021",862628,511175,351453,8401,5654,30.03,,4.51,2.21,2158,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, June 21, 2021",890052,519674,370378,9140,6788,30.98,,4.69,2.35,2420,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, June 22, 2021",901429,525800,375629,11377,7571,31.38,,4.87,2.48,2574,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, June 23, 2021",912874,532225,380649,11445,8378,31.77,,5.04,2.62,2627,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, June 24, 2021",922886,537018,385868,10012,8608,32.12,,5.21,2.76,2649,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, June 29, 2021",955498,556252,399246,12059,7724,33.26,,5.36,2.9,2658,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, June 30, 2021",968034,564530,403504,12536,7880,33.69,,5.52,3.02,2650,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, July 1, 2021",974486,567084,407402,6452,7371,33.92,,5.96,3.27,2679,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, July 2, 2021",981499,569352,412147,7013,7639,34.16,,6.2,3.36,2715,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, July 5, 2021",994081,574187,419894,5531,7235,34.6,,6.45,3.43,2732,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, July 6, 2021",1000063,576905,423158,5982,6366,34.81,,6.73,3.49,2783,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, July 7, 2021",1005663,579552,426111,5600,5376,35,,6.99,3.53,2837,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, July 8, 2021",1011297,582106,429191,5634,5259,35.2,,7.53,3.64,2772,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, July 9, 2021",1016554,584832,431722,5257,5008,35.38,,7.78,3.7,2746,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Saturday, July 10, 2021",1021408,587238,434170,4854,5198,35.55,,8.02,3.77,2723,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Sunday, July 11, 2021",1022802,587876,434926,1394,4893,35.6,,8.25,3.85,2683,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, July 12, 2021",1029234,590476,438758,6432,5022,35.83,,8.46,3.92,2641,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, July 13, 2021",1035667,592502,443165,6433,5086,36.05,,8.64,4.06,2179,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, July 14, 2021",1043499,594669,448830,7832,5405,36.32,,8.83,4.15,2135,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, July 15, 2021",1052108,596977,455131,8609,5830,36.62,,9.02,4.25,2114,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, July 16, 2021",1060042,599387,460655,7934,6213,36.9,,9.23,4.34,2107,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Saturday, July 17, 2021",1067135,601701,465434,7093,6532,37.14,,9.42,4.43,2108,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Sunday, July 18, 2021",1069365,602460,466905,2230,6652,37.22,,9.82,4.67,2575,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, July 21, 2021",1095453,616592,478861,13029,7422,38.13,,9.99,4.83,2634,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, July 22, 2021",1109785,624490,485295,14332,8240,38.63,,9.99,4.84,2222,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, July 30, 2021",1190847,665632,525215,11078,10200,41.45,,10.09,5.08,2282,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Saturday, July 31, 2021",1198933,670215,528718,8086,9975,41.73,,10.18,5.29,2311,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Sunday, August 1, 2021",1203087,672765,530322,4154,9188,41.88,,10.42,5.67,2279,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, August 2, 2021",1212761,677938,534823,9674,9106,42.21,,10.54,5.85,2243,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, August 3, 2021",1221640,683052,538588,8879,8910,42.52,,10.75,6.02,2782,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, August 4, 2021",1229405,687768,541637,7765,8555,42.79,,10.95,6.19,2821,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, August 5, 2021",1238036,693000,545036,8631,8324,43.09,,11.3,6.35,3115,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, August 16, 2021",1330754,757938,572816,9556,8666,46.32,,12.25,6.52,3821,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, August 17, 2021",1340339,764997,575342,9585,8586,46.65,,12.66,6.66,4185,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Sunday, August 22, 2021",1376763,787510,589253,3414,7938,47.92,,13.06,6.8,4404,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, August 23, 2021",1386713,792663,594050,9950,7994,48.27,,13.44,6.94,4638,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, August 24, 2021",1396390,797441,598949,9677,8007,48.61,,13.84,7.08,4670,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, August 25, 2021",1405653,802394,603259,9263,8053,48.93,,14.7,7.29,4609,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, August 26, 2021",1415907,807368,608539,10254,8240,49.28,,15.13,7.38,4558,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, August 27, 2021",1427977,812555,615422,12070,8884,49.7,,15.62,7.4,4524,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, August 30, 2021",1458048,824170,633878,13284,10191,50.75,,16.12,7.41,4491,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, August 31, 2021",1472316,830396,641920,14268,10847,51.25,,16.6,7.43,4442,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, September 1, 2021",1485250,836613,648637,12934,11371,51.7,,17.61,7.47,4409,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, September 2, 2021",1499898,844304,655594,14648,11999,52.21,,18.09,7.49,4379,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, September 7, 2021",1553626,872116,681510,14394,11616,54.08,,18.56,7.56,4430,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, September 8, 2021",1567313,879459,687854,13687,11723,54.55,,19.01,7.66,4479,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, September 9, 2021",1579402,885981,693421,12089,11358,54.98,,19.33,7.88,4543,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, September 10, 2021",1589575,890978,698597,10173,11406,55.33,,19.9,8.5,4739,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Saturday, September 11, 2021",1598196,895363,702833,8621,11233,55.63,,20.24,8.78,4918,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Sunday, September 12, 2021",1601552,896926,704626,3356,10308,55.75,,20.56,9.1,5054,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, September 13, 2021",1610157,900814,709343,8605,10132,56.05,,20.77,9.1,4578,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, September 14, 2021",1618111,904594,713517,7954,9212,56.32,,20.93,9.11,4046,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, September 15, 2021",1625636,908232,717404,7525,8332,56.58,,21.35,9.51,3528,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, September 16, 2021",1632986,911372,721614,7350,7655,56.84,,21.91,10.05,4136,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, September 17, 2021",1640239,914401,725838,7253,7238,57.09,,22.5,10.61,4804,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, September 20, 2021",1657595,921001,736594,7711,6777,57.7,,23.06,11.17,6026,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, September 21, 2021",1665590,923771,741819,7995,6783,57.98,,23.63,11.73,7332,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, September 22, 2021",1674093,926652,747441,8503,6922,58.27,,24.7,12.88,9190,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, September 23, 2021",1683644,929624,754020,9551,7237,58.6,,25.22,13.43,9141,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, September 24, 2021",1693555,932595,760960,9911,7617,58.95,,25.72,13.99,9019,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, September 28, 2021",1723996,941418,782578,8863,8344,60.01,,26.21,14.56,8957,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, September 29, 2021",1732549,944011,788538,8553,8351,60.31,,26.73,15.12,8884,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, September 30, 2021",1741373,946495,794878,8824,8247,60.61,,28.01,16.13,8893,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, October 1, 2021",1749106,948553,800553,7733,7936,60.88,,28.68,16.48,8849,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Saturday, October 2, 2021",1756040,950620,805420,6934,7899,61.12,,29.36,16.81,8783,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, October 5, 2021",1771542,955083,816459,6828,6792,61.66,,30.1,17.06,8673,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, October 6, 2021",1778093,957147,820946,6551,6506,61.89,,30.86,17.27,8551,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, October 7, 2021",1783984,958874,825110,5891,6087,62.1,,32.38,17.71,8180,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, October 8, 2021",1789592,960652,828940,5608,5784,62.29,,32.94,18.13,8142,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Saturday, October 9, 2021",1795351,962281,833070,5759,5616,62.49,,33.5,18.56,8108,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, October 12, 2021",1810433,968117,842316,6634,5556,63.02,,34.06,18.97,8088,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, October 13, 2021",1816580,970703,845877,6147,5498,63.23,,34.61,19.39,8054,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, October 18, 2021",1842661,982467,860194,5805,5552,64.14,,35.67,20.31,8044,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Tuesday, October 19, 2021",1848634,985320,863314,5973,5457,64.35,,36.18,20.78,8051,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Wednesday, October 20, 2021",1854615,988414,866201,5981,5434,64.55,,36.67,21.25,8030,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, October 21, 2021",1860335,991371,868964,5720,5527,64.75,,37.17,21.73,8050,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, October 22, 2021",1865942,994446,871496,5607,5603,64.95,,37.65,22.23,8085,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Monday, October 25, 2021",1879391,1000993,878398,5488,5247,65.42,,38.3,22.27,8383,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Thursday, October 28, 2021",1896652,1011039,885613,5611,5188,66.02,,38.77,22.84,9110,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Friday, October 29, 2021",1901824,1013959,887865,5172,5126,66.2,,39.18,23.49,9224,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Albania,ALB,"Sunday, November 7, 2021",1947148,1032457,905876,2472,5709,67.78,,39.53,24.17,9259,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
